City,State,StateCode,CensusCode,City_State,Latitude,Longitude,Population,sameHouse1yr,transport,car_percent,transportCar,public_transport_percent,publicTransport,walked_percent,walked,medianIncome,employment,rent_percent,rent,own_percent,own,housingTenure,medianValue,medianRent,white_percent,white,black_percent,black,asian_percent,asian,two_plus_percent,twoPlusRaces,hispanic_percent,hispanic,foreign_born_percent,foreignBorn,commute_10_percent,commuteless10,commute_10_29_percent,commute10to29,commute_30_59_percent,commute30to59,commute_60_percent,commute60plus,counttraveltime,ya_percent,youngAdults,industryTotal,NR_percent,naturalReasources,construction_percent,construction,manufacturing_percent,manufacturing,sales,sales_percent,wholesale,retail,transpo_percent,transportation,info_percent,information,finance_percent,finance,sci_percent,scientific,edu_percent,education,arts_percent,arts,other_percent,other,PA_percent,publicAdmin,housingTypeTotal,percent_1_unit,units1,percent_2_unit,units2,percent_3_4_unit,units3or4,percent_5_9_unit,units5or9,percent_10_unit,units10plus,percent_other_housing,otherType,republican,democrat,bars_pp,total_bars,restaurants_pp,total_restaurants,parks_pp,total_parks,activities_pp,total_activities,nightlife_pp,total_nightlife,museums_pp,total_museums,max_avg_high,max_avg_low,mean_diff,international_airport,amtrak,crime_rate
Jacksonville,Florida,FL,42346,"Jacksonville, Florida",30.3321838,-81.655651,1303156,1083342,645157,0.671075,432949,0.006121,3949,0.036312,23427,74416,680730,0.382133,202320,0.617867,327129,529449,352400,1553,0.548,713602,0.245,319848,0.052,68359,0.112,146256,0.124,162072,0.114,149047,0.087,45376,0.526,274662,0.341,178076,0.046,24140,522254,0.084,109440,635817,0.004,2483,0.068,42948,0.054,34297,93514,0.147,13279,80235,0.066,42084,0.017,10694,0.123,78308,0.144,91727,0.193,122903,0.092,58493,0.046,29291,0.046,29075,570993,0.681,389012,0.019,10857,0.054,30778,0.053,30363,0.164,93669,0.029,16314,7,0,0.000190,248,0.000998,1300,0.000090,117,0.000708,922,0.000206,269,0.000025,33,98.4,23.5,74.9,1,1,63.99
Miami,Florida,FL,56602,"Miami, Florida",25.7741728,-80.19362,6113982,5261172,3065296,0.685111,2100067,0.027114,83111,0.044924,137706,76187,3249717,0.382323,891575,0.617677,1440421,2331996,473700,1920,0.364,2225020,0.194,1185601,0.026,161447,0.322,1969717,0.467,2854032,0.429,2621431,0.067,175003,0.464,1215511,0.365,955509,0.104,271311,2617334,0.077,472573,3114676,0.005,14606,0.080,248774,0.046,144474,421510,0.135,86977,334533,0.081,250844,0.016,49485,0.087,272195,0.151,471556,0.205,638125,0.105,327852,0.056,175097,0.032,100158,2680101,0.507,1359497,0.022,59124,0.043,114871,0.054,143912,0.354,948584,0.020,54113,7,0,0.000180,1100,0.000769,4700,0.000050,303,0.000752,4600,0.000213,1300,0.000035,217,95.8,42.5,53.3,1,1,29.79
Orlando,Florida,FL,65863,"Orlando, Florida",28.5421109,-81.3790304,1913597,1617321,984838,0.676937,666673,0.011579,11403,0.034565,34041,78805,1045760,0.418000,307879,0.582000,428673,736552,403600,1811,0.473,905984,0.182,347742,0.048,92692,0.201,385474,0.294,563248,0.219,419498,0.072,57879,0.492,393720,0.370,296276,0.066,52500,800375,0.097,185447,998637,0.003,2818,0.066,65667,0.054,53663,130351,0.131,18094,112257,0.065,65371,0.017,17435,0.073,72942,0.164,164130,0.200,200120,0.157,156671,0.043,42840,0.027,26629,792893,0.618,489663,0.012,9627,0.040,31610,0.070,55373,0.229,181809,0.031,24811,7,0,0.000299,573,0.001411,2700,0.000111,212,0.001254,2400,0.000324,620,0.000037,71,97.2,31.3,65.9,1,1,48.54
Tallahassee,Florida,FL,86464,"Tallahassee, Florida",30.4380832,-84.2809332,261271,203313,136763,0.726205,99318,0.025226,3450,0.041766,5712,63612,148159,0.522670,58122,0.477330,53080,111202,309900,1284,0.536,140055,0.320,83601,0.037,9642,0.084,21875,0.084,22037,0.089,23226,0.125,14981,0.649,77534,0.188,22507,0.037,4440,119462,0.235,61445,137983,0.010,1312,0.037,5105,0.024,3266,17887,0.130,2467,15420,0.023,3178,0.012,1718,0.049,6713,0.136,18714,0.254,34987,0.119,16372,0.053,7339,0.155,21392,124976,0.522,65197,0.031,3845,0.090,11274,0.058,7215,0.260,32545,0.039,4900,7,0,0.000566,148,0.002905,759,0.000318,83,0.001979,517,0.000589,154,0.000092,24,99.8,20.2,79.6,1,0,30.54
Tampa,Florida,FL,86599,"Tampa, Florida",27.9477595,-82.458444,2906035,2463459,1431750,0.659608,944394,0.011241,16095,0.039656,56777,73971,1517492,0.341875,407055,0.658125,783600,1190655,384000,1753,0.601,1746089,0.124,360527,0.044,128052,0.170,494474,0.224,649684,0.171,496100,0.093,106512,0.463,530616,0.349,400652,0.095,108951,1146731,0.079,228664,1450415,0.007,10792,0.071,102578,0.060,87417,195882,0.135,31685,164197,0.052,75873,0.016,23416,0.104,151474,0.163,237138,0.205,297371,0.093,135255,0.053,76768,0.039,56451,1348275,0.622,838788,0.017,22546,0.040,53756,0.055,73915,0.192,258978,0.074,100292,7,0,0.000146,423,0.000723,2100,0.000062,180,0.000654,1900,0.000162,470,0.000020,58,96.2,32.8,63.4,1,1,24.3
West Palm Beach,Florida,FL,22612,"West Palm Beach, Florida",26.715364,-80.0532942,429526,371916,177278,0.711859,126197,0.007045,1249,0.036654,6498,61638,190866,0.269548,51261,0.730452,138913,190174,358200,1484,0.750,322326,0.103,44258,0.025,10881,0.090,38484,0.092,39648,0.095,40632,0.123,18207,0.555,82069,0.225,33320,0.097,14360,147956,0.079,33944,181428,0.001,231,0.071,12874,0.054,9818,29430,0.162,5513,23917,0.058,10511,0.012,2247,0.090,16265,0.134,24292,0.232,42014,0.101,18273,0.048,8727,0.037,6746,232285,0.642,149219,0.024,5464,0.028,6525,0.051,11830,0.178,41397,0.077,17850,7,0,0.000489,210,0.002561,1100,0.000265,114,0.003492,1500,0.000556,239,0.000130,56,95.4,37.7,57.7,1,1,33.13
Athens,Georgia,GA,03763,"Athens, Georgia",33.9597677,-83.376398,147368,111020,75680,0.760082,57523,0.016134,1221,0.032043,2425,58872,80817,0.550412,34163,0.449588,27905,62068,333400,1281,0.592,87273,0.251,36923,0.047,6953,0.069,10226,0.107,15762,0.081,11911,0.155,10540,0.636,43119,0.146,9890,0.063,4244,67793,0.239,35157,77551,0.009,672,0.042,3290,0.058,4521,9555,0.123,1727,7828,0.060,4632,0.007,550,0.050,3866,0.138,10718,0.304,23568,0.119,9202,0.041,3186,0.049,3791,65357,0.602,39319,0.052,3373,0.039,2519,0.070,4596,0.197,12856,0.041,2694,4,3,0.000706,104,0.002803,413,0.000143,21,0.002036,300,0.000713,105,0.000075,11,100,15,85,0,0,35.22
Atlanta,Georgia,GA,03817,"Atlanta, Georgia",33.7489924,-84.3902644,5211164,4492313,2682472,0.654892,1756729,0.017445,46795,0.037540,100699,88351,2881208,0.353113,689104,0.646887,1262409,1951513,395800,1739,0.382,1991546,0.370,1927764,0.077,403761,0.102,531197,0.136,710149,0.178,927694,0.068,145157,0.424,907916,0.388,829656,0.121,258003,2140732,0.091,475681,2749097,0.003,7947,0.066,180088,0.072,196844,362739,0.132,63819,298920,0.075,207207,0.029,78755,0.075,207353,0.174,477365,0.198,545636,0.088,241202,0.050,136160,0.039,107801,2117126,0.703,1487799,0.010,20154,0.027,57953,0.051,107604,0.195,412201,0.015,31415,4,3,0.000134,696,0.000518,2700,0.000040,209,0.000499,2600,0.000150,783,0.000026,134,97.3,15.2,82.1,1,1,47.91
Columbus,Georgia,GA,19099,"Columbus, Georgia",32.4610708,-84.9880449,257578,215299,112071,0.712022,79797,0.014116,1582,0.037217,4171,51870,120547,0.477567,50742,0.522433,55509,106251,181100,1005,0.419,107906,0.428,110253,0.019,4990,0.091,23469,0.076,19697,0.043,11000,0.145,14263,0.658,64813,0.159,15672,0.039,3824,98572,0.088,22679,103718,0.009,930,0.050,5174,0.101,10465,12453,0.120,1917,10536,0.052,5370,0.013,1334,0.109,11323,0.105,10907,0.230,23873,0.101,10444,0.039,4070,0.071,7375,119773,0.652,78061,0.027,3225,0.070,8352,0.068,8150,0.149,17811,0.035,4174,4,3,0.000311,80,0.002590,667,0.000190,49,0.001281,330,0.000427,110,0.000082,21,99.5,19.2,80.3,0,0,32.89
Savannah,Georgia,GA,79768,"Savannah, Georgia",32.0790074,-81.0921335,316446,254025,155636,0.732022,113929,0.005442,847,0.042047,6544,72008,165276,0.432339,54447,0.567661,71489,125936,317100,1506,0.481,152138,0.357,113119,0.031,9924,0.077,24492,0.078,24620,0.094,29607,0.102,14007,0.573,78418,0.284,38895,0.040,5416,136736,0.102,32277,156341,0.004,668,0.054,8514,0.092,14342,21107,0.135,2913,18194,0.091,14225,0.014,2206,0.050,7804,0.136,21199,0.206,32267,0.130,20271,0.045,7032,0.043,6706,141810,0.678,96113,0.040,5622,0.062,8764,0.068,9666,0.118,16766,0.034,4879,4,3,0.000654,207,0.002193,694,0.000193,61,0.002130,674,0.000717,227,0.000246,78,99.7,21.6,78.1,1,1,22.12
