City,State,StateCode,City_State,Latitude,Longitude,car_percent,medianRent,white_percent,nonwhite_percent,foreign_born_percent,NR_percent,construction_percent,manufacturing_percent,sales_percent,transpo_percent,info_percent,finance_percent,sci_percent,edu_percent,arts_percent,other_percent,PA_percent,republican,democrat,bars_pp,restaurants,parks_pp,activities_pp,nightlife_pp,nightlife,activities,museums_pp,max_avg_high,max_avg_low,mean_diff,international_airport,transit,amtrak,crime_rate,pop_density
Des Moines,Iowa,IA,"Des Moines, Iowa",41.5868654,-93.6249494,0.731635,1178,0.759,0.241,0.108,0.009,0.071,0.091,0.135,0.051,0.016,0.137,0.112,0.207,0.088,0.047,0.035,7,0,0.0004,0.0013,0.0001,0.0008,0.0004,0.0008,0.0008,0.0000,97.4,-11.4,108.8,1,1,0,33.01,2428.39
Lawrence,Kansas,KS,"Lawrence, Kansas",38.9719137,-95.2359403,0.67541,1033,0.742,0.258,0.07,0.005,0.046,0.061,0.145,0.029,0.028,0.063,0.141,0.304,0.095,0.054,0.028,6,1,0.0007,0.0026,0.0003,0.0022,0.0008,0.0015,0.0023,0.0001,101.3,-3.6,104.9,0,1,1,28.21,2700
Wichita,Kansas,KS,"Wichita, Kansas",37.6922361,-97.3375448,0.804034,979,0.679,0.321,0.086,0.014,0.064,0.162,0.134,0.055,0.015,0.063,0.102,0.228,0.087,0.039,0.038,6,1,0.0003,0.0017,0.0001,0.0009,0.0004,0.0007,0.0010,0.0001,104.9,1,103.9,0,1,1,44.33,2454.05
Louisville,Kentucky,KY,"Louisville, Kentucky",38.2542376,-85.759407,0.730321,1111,0.67,0.33,0.086,0.002,0.045,0.138,0.117,0.086,0.012,0.08,0.106,0.241,0.094,0.049,0.03,6,1,0.0004,0.0012,0.0002,0.0018,0.0004,0.0008,0.0019,0.0001,97.3,3.3,94,1,2,1,36.68,1900
Lafayette,Louisiana,LA,"Lafayette, Louisiana",30.2262187,-92.0178202,0.775487,972,0.615,0.385,0.052,0.054,0.078,0.053,0.138,0.042,0.015,0.067,0.12,0.254,0.107,0.044,0.029,7,0,0.0005,0.0031,0.0001,0.0016,0.0007,0.0013,0.0017,0.0000,98.3,24.6,73.7,0,1,1,48.73,2170.57
New Orleans,Louisiana,LA,"New Orleans, Louisiana",29.9759983,-90.0782127,0.719054,1160,0.427,0.573,0.099,0.006,0.075,0.056,0.116,0.07,0.013,0.055,0.13,0.255,0.122,0.052,0.051,7,0,0.0010,0.0025,0.0002,0.0025,0.0012,0.0022,0.0027,0.0002,97.6,27.6,70,1,2,1,60.98,2267
Portland,Maine,ME,"Portland, Maine",43.6573605,-70.2586618,0.647423,1596,0.837,0.163,0.081,0.005,0.038,0.081,0.14,0.033,0.021,0.074,0.156,0.294,0.093,0.04,0.024,2,6,0.0010,0.0029,0.0004,0.0034,0.0009,0.0019,0.0036,0.0002,93.5,-9,102.5,1,2,1,18.63,3175.86
Baltimore,Maryland,MD,"Baltimore, Maryland",39.2908816,-76.610759,0.673032,1565,0.459,0.541,0.136,0.002,0.053,0.049,0.106,0.056,0.016,0.056,0.158,0.274,0.08,0.048,0.099,0,7,0.0003,0.0012,0.0000,0.0007,0.0003,0.0005,0.0007,0.0001,98.9,6.9,92,1,2,1,48.36,7235.43
Boston,Massachusetts,MA,"Boston, Massachusetts",42.3554334,-71.060511,0.568487,2017,0.632,0.368,0.22,0.002,0.058,0.082,0.101,0.038,0.022,0.08,0.18,0.277,0.079,0.043,0.037,0,7,0.0002,0.0010,0.0001,0.0012,0.0003,0.0005,0.0012,0.0001,96.4,2.6,93.8,1,2,1,26.19,13976.98
Ann Arbor,Michigan,MI,"Ann Arbor, Michigan",42.2813722,-83.7484616,0.615968,1435,0.636,0.364,0.156,0.001,0.022,0.117,0.113,0.039,0.016,0.038,0.118,0.366,0.103,0.043,0.026,0,7,0.0004,0.0019,0.0002,0.0022,0.0004,0.0008,0.0022,0.0001,94.3,-5.6,99.9,0,0,0,24.94,4388.14
Detroit,Michigan,MI,"Detroit, Michigan",42.3315509,-83.0466403,0.740674,1191,0.605,0.395,0.121,0.003,0.05,0.194,0.121,0.05,0.014,0.067,0.124,0.215,0.088,0.043,0.03,0,7,0.0001,0.0004,0.0000,0.0003,0.0001,0.0003,0.0003,0.0000,95.4,-3.7,99.1,1,2,1,66.09,4606.84
Grand Rapids,Michigan,MI,"Grand Rapids, Michigan",42.9632425,-85.6678639,0.743496,1273,0.703,0.297,0.093,0.008,0.056,0.175,0.145,0.043,0.012,0.072,0.117,0.232,0.076,0.043,0.02,0,7,0.0004,0.0015,0.0001,0.0011,0.0004,0.0007,0.0011,0.0000,94.3,-6.3,100.6,1,2,1,39.99,4442.49
Lansing,Michigan,MI,"Lansing, Michigan",42.7338254,-84.5546295,0.678654,1067,0.674,0.326,0.086,0.006,0.04,0.099,0.119,0.053,0.011,0.083,0.103,0.281,0.086,0.041,0.076,0,7,0.0003,0.0019,0.0001,0.0011,0.0004,0.0007,0.0011,0.0001,94.3,-9.4,103.7,1,2,1,40.17,2877.68
