City             ,State                ,StateCode ,CensusCode ,Population ,sameHouse1yr ,transportCar ,publicTransport ,medianIncome ,employment ,rent    ,own     ,housingTenure ,medianValue ,medianRent ,white   ,black   ,asian   ,twoPlusRaces ,hispanic ,foreignBorn ,commuteless10 ,commute10to29 ,commute30to59 ,commute60plus ,counttraveltime ,youngAdults ,industryTotal ,naturalReasources ,construction ,manufacturing ,wholesale ,retail ,transportation ,information ,finance ,scientific ,education ,arts   ,other  ,publicAdmin ,housingTypeTotal ,units1  ,units2 ,units3or4 ,units5or9 ,units10plus ,otherType
Jacksonville     ,Florida              ,FL        ,     42346 ,   1303156 ,     1083342 ,      432949 ,         432949 ,       74416 ,    680730 , 202320 , 327129 ,       529449 ,     352400 ,      1553 , 713602 , 319848 ,  68359 ,      146256 ,  162072 ,     149047 ,        45376 ,       274662 ,       178076 ,        24140 ,         522254 ,     109440 ,       635817 ,             2483 ,       42948 ,        34297 ,    13279 , 80235 ,         42084 ,      10694 ,  78308 ,     91727 ,   122903 , 58493 , 29291 ,      29075 ,          570993 , 389012 , 10857 ,    30778 ,    30363 ,      93669 ,    16314
Miami            ,Florida              ,FL        ,     56602 ,   6113982 ,     5261172 ,     2100067 ,        2100067 ,       76187 ,   3249717 , 891575 ,1440421 ,      2331996 ,     473700 ,      1920 ,2225020 ,1185601 , 161447 ,     1969717 , 2854032 ,    2621431 ,       175003 ,      1215511 ,       955509 ,       271311 ,        2617334 ,     472573 ,      3114676 ,            14606 ,      248774 ,       144474 ,    86977 ,334533 ,        250844 ,      49485 , 272195 ,    471556 ,   638125 ,327852 ,175097 ,     100158 ,         2680101 ,1359497 , 59124 ,   114871 ,   143912 ,     948584 ,    54113
Orlando          ,Florida              ,FL        ,     65863 ,   1913597 ,     1617321 ,      666673 ,         666673 ,       78805 ,   1045760 , 307879 , 428673 ,       736552 ,     403600 ,      1811 , 905984 , 347742 ,  92692 ,      385474 ,  563248 ,     419498 ,        57879 ,       393720 ,       296276 ,        52500 ,         800375 ,     185447 ,       998637 ,             2818 ,       65667 ,        53663 ,    18094 ,112257 ,         65371 ,      17435 ,  72942 ,    164130 ,   200120 ,156671 , 42840 ,      26629 ,          792893 , 489663 ,  9627 ,    31610 ,    55373 ,     181809 ,    24811
Tallahassee      ,Florida              ,FL        ,     86464 ,    261271 ,      203313 ,       99318 ,          99318 ,       63612 ,    148159 ,  58122 ,  53080 ,       111202 ,     309900 ,      1284 , 140055 ,  83601 ,   9642 ,       21875 ,   22037 ,      23226 ,        14981 ,        77534 ,        22507 ,         4440 ,         119462 ,      61445 ,       137983 ,             1312 ,        5105 ,         3266 ,     2467 , 15420 ,          3178 ,       1718 ,   6713 ,     18714 ,    34987 , 16372 ,  7339 ,      21392 ,          124976 ,  65197 ,  3845 ,    11274 ,     7215 ,      32545 ,     4900
Tampa            ,Florida              ,FL        ,     86599 ,   2906035 ,     2463459 ,      944394 ,         944394 ,       73971 ,   1517492 , 407055 , 783600 ,      1190655 ,     384000 ,      1753 ,1746089 , 360527 , 128052 ,      494474 ,  649684 ,     496100 ,       106512 ,       530616 ,       400652 ,       108951 ,        1146731 ,     228664 ,      1450415 ,            10792 ,      102578 ,        87417 ,    31685 ,164197 ,         75873 ,      23416 , 151474 ,    237138 ,   297371 ,135255 , 76768 ,      56451 ,         1348275 , 838788 , 22546 ,    53756 ,    73915 ,     258978 ,   100292
West Palm Beach  ,Florida              ,FL        ,     22612 ,    429526 ,      371916 ,      126197 ,         126197 ,       61638 ,    190866 ,  51261 , 138913 ,       190174 ,     358200 ,      1484 , 322326 ,  44258 ,  10881 ,       38484 ,   39648 ,      40632 ,        18207 ,        82069 ,        33320 ,        14360 ,         147956 ,      33944 ,       181428 ,              231 ,       12874 ,         9818 ,     5513 , 23917 ,         10511 ,       2247 ,  16265 ,     24292 ,    42014 , 18273 ,  8727 ,       6746 ,          232285 , 149219 ,  5464 ,     6525 ,    11830 ,      41397 ,    17850
Athens           ,Georgia              ,GA        ,     03763 ,    147368 ,      111020 ,       57523 ,          57523 ,       58872 ,     80817 ,  34163 ,  27905 ,        62068 ,     333400 ,      1281 ,  87273 ,  36923 ,   6953 ,       10226 ,   15762 ,      11911 ,        10540 ,        43119 ,         9890 ,         4244 ,          67793 ,      35157 ,        77551 ,              672 ,        3290 ,         4521 ,     1727 ,  7828 ,          4632 ,        550 ,   3866 ,     10718 ,    23568 ,  9202 ,  3186 ,       3791 ,           65357 ,  39319 ,  3373 ,     2519 ,     4596 ,      12856 ,     2694
Atlanta          ,Georgia              ,GA        ,     03817 ,   5211164 ,     4492313 ,     1756729 ,        1756729 ,       88351 ,   2881208 , 689104 ,1262409 ,      1951513 ,     395800 ,      1739 ,1991546 ,1927764 , 403761 ,      531197 ,  710149 ,     927694 ,       145157 ,       907916 ,       829656 ,       258003 ,        2140732 ,     475681 ,      2749097 ,             7947 ,      180088 ,       196844 ,    63819 ,298920 ,        207207 ,      78755 , 207353 ,    477365 ,   545636 ,241202 ,136160 ,     107801 ,         2117126 ,1487799 , 20154 ,    57953 ,   107604 ,     412201 ,    31415
Columbus         ,Georgia              ,GA        ,     19099 ,    257578 ,      215299 ,       79797 ,          79797 ,       51870 ,    120547 ,  50742 ,  55509 ,       106251 ,     181100 ,      1005 , 107906 , 110253 ,   4990 ,       23469 ,   19697 ,      11000 ,        14263 ,        64813 ,        15672 ,         3824 ,          98572 ,      22679 ,       103718 ,              930 ,        5174 ,        10465 ,     1917 , 10536 ,          5370 ,       1334 ,  11323 ,     10907 ,    23873 , 10444 ,  4070 ,       7375 ,          119773 ,  78061 ,  3225 ,     8352 ,     8150 ,      17811 ,     4174
Savannah         ,Georgia              ,GA        ,     79768 ,    316446 ,      254025 ,      113929 ,         113929 ,       72008 ,    165276 ,  54447 ,  71489 ,       125936 ,     317100 ,      1506 , 152138 , 113119 ,   9924 ,       24492 ,   24620 ,      29607 ,        14007 ,        78418 ,        38895 ,         5416 ,         136736 ,      32277 ,       156341 ,              668 ,        8514 ,        14342 ,     2913 , 18194 ,         14225 ,       2206 ,   7804 ,     21199 ,    32267 , 20271 ,  7032 ,       6706 ,          141810 ,  96113 ,  5622 ,     8764 ,     9666 ,      16766 ,     4879
Honolulu         ,Hawaii               ,HI        ,     39889 ,    836233 ,      722550 ,      256263 ,         256263 ,      100967 ,    447916 , 122090 , 166888 ,       288978 ,     863700 ,      1953 , 131655 ,  19321 , 382223 ,      210346 ,   82420 ,     175969 ,        33789 ,       190491 ,       129723 ,        35691 ,         389694 ,      71408 ,       397391 ,             2091 ,       26985 ,        12489 ,     9026 , 45185 ,         28374 ,       5923 ,  25812 ,     42940 ,    92056 , 50504 , 20850 ,      35156 ,          320055 , 167184 ,  5829 ,    15714 ,    20561 ,     109851 ,      916
Des Moines       ,Iowa                 ,IA        ,     23743 ,    560170 ,      469809 ,      221316 ,         221316 ,       81787 ,    317769 ,  80067 , 151262 ,       231329 ,     275900 ,      1178 , 425411 ,  41645 ,  30853 ,       37979 ,   56685 ,      60397 ,        38963 ,       175767 ,        38494 ,         7161 ,         260385 ,      49910 ,       306772 ,             2667 ,       21768 ,        27839 ,     9289 , 32115 ,         15545 ,       4982 ,  42146 ,     34409 ,    63506 , 27121 , 14542 ,      10843 ,          246767 , 172223 ,  3311 ,     4590 ,     8266 ,      54980 ,     3397
Boise            ,Idaho                ,ID        ,     08785 ,    449428 ,      372413 ,      159530 ,         159530 ,       88062 ,    244465 ,  59296 , 126198 ,       185494 ,     522100 ,      1590 , 371537 ,   8103 ,  13847 ,       38615 ,   42663 ,      30035 ,        22396 ,       131628 ,        31715 ,         4903 ,         190642 ,      43298 ,       235605 ,             1903 ,       18937 ,        25356 ,     5686 , 25358 ,          9249 ,       4894 ,  17124 ,     29788 ,    52744 , 21846 ,  9634 ,      13086 ,          192554 , 149245 ,  2873 ,    10921 ,     5532 ,      19092 ,     4891
